id,frames,gate,crossing_events
02806b069661ffd8f7baf2d8,"[""frames/f1bdd8bb7af4ffe8173b17f6.png"",""frames/8eb7ea2d60a0ddaa56f6f2c1.png"",""frames/6e8e2a0bfd30f1c5a93b25a0.png"",""frames/8aa6274c54f4d88126014e5e.png"",""frames/2008a7ccf2288cd7f9049063.png"",""frames/f0a546bcf54745f27a81ff23.png"",""frames/15ede454b35f408a91be09d3.png"",""frames/b53418bf60cbeef4539edf11.png"",""frames/35035d5c6237509993e19c6d.png"",""frames/bfd1185a898195736888268c.png"",""frames/22d150dac6972f09953dc1df.png"",""frames/8926bc0c2c28582a65a13a81.png"",""frames/ab56486ad218a57a202242f9.png"",""frames/5beb7ca55708a04fa70dbb0b.png"",""frames/3ed12b536a633ffdc94c4086.png"",""frames/f32eb1231387e20a493ac814.png"",""frames/24da808ef44e8d8de1691ea1.png"",""frames/ae6dea823605777c49826e1c.png"",""frames/ae3818ceeee739f6412eea07.png"",""frames/88b83511d948ab70ea25563b.png""]","[0.65,0,0.65,1]","[[6.40186,-1,0.578808],[6.67425,1,0.148158],[8.50827,-1,0.719849]]"
02a17b113cd9aeea4e445342,"[""frames/6379e47b8b3871a84a7aeb92.png"",""frames/f80224895ec809ce50a8d5f8.png"",""frames/7656c5279629cfb1b716c3a9.png"",""frames/fa13030cdf92ba2df5d28262.png"",""frames/d99ff92d8b06e95cdc777add.png"",""frames/8b903527ede64ca9d744320e.png"",""frames/bd21c62da2ef019663e01874.png"",""frames/2557cb4e8be417669e5434d9.png"",""frames/6ba85af3ae7dbe0170865903.png"",""frames/c31ae179a0754f7b568068ed.png"",""frames/d82cf81a7e2f96e09ad10d26.png"",""frames/9455f0db55736bf524d539c1.png"",""frames/b03fc13aeed103417386daf9.png"",""frames/d96c1a06aa28e427a60c992c.png"",""frames/6b759c6e7189eebc3cff13a3.png"",""frames/c713190376ce196e10a151aa.png"",""frames/338f89b08f46221904de1603.png"",""frames/9818a04b481baf894700da3b.png"",""frames/84b7778cf9380a5b775e00bf.png"",""frames/2fb3e3ea8b40bc4bde472a7d.png""]","[0,0.65,1,0.65]","[[2.285714,1,0.887323],[3.219795,-1,0.885646],[3.857143,-1,0.432998],[7.285714,1,0.415317],[9.507121,1,0.138904]]"
02a9bc32b9fa65584252934b,"[""frames/7a16828557dbab7a60a84028.png"",""frames/657bbcc22445bf09b44aa17c.png"",""frames/469bebd43085b616f2384eb9.png"",""frames/ebfbfce4d626fc54ade4660f.png"",""frames/d7733a6fc56a2e45f4c25b09.png"",""frames/965907a246c1d11568a4fd55.png"",""frames/88f60d163e984188af8faf57.png"",""frames/ea68faab3ef72d899ffc7b4b.png"",""frames/9978f8a01bdbc9f3a0f67e15.png"",""frames/5ea5e593c996482bf8cf93fc.png"",""frames/132ef19a4dd59636bf095a5d.png"",""frames/5004d7fcaa2854c8ab230b5e.png"",""frames/1bc499a5a1703224b2373f9b.png"",""frames/f5516c5b3bc3ec235f1745e7.png"",""frames/a5bff8c3294420c9dcca7331.png"",""frames/e167fbe5a3b255eaf31ad0d3.png"",""frames/b991004440960cb18616618b.png"",""frames/c266a290d53befce07d6c96f.png"",""frames/c5d50c74d986455c85b2cd24.png"",""frames/fecc687f69e0acd6621ae4fb.png""]","[0.8,0,0.8,1]","[[0.866943,-1,0.195356],[1.35482,1,0.188779],[2.276506,-1,0.177758],[4.042575,1,0.135894],[5.991943,-1,0.76911],[7.266867,-1,0.168894],[9.758057,1,0.171164]]"
02b1e725acb530f0f30c75b3,"[""frames/64f73866c042d094772323da.png"",""frames/ef394ff3747576204229321a.png"",""frames/8c376300c92ac3c66708e53b.png"",""frames/ac5ab30c86634b6756241056.png"",""frames/25f6d7ac3299c7c3c1d388c1.png"",""frames/515deb577853054c76912a9e.png"",""frames/9647ad0a4a2047e11bbabe68.png"",""frames/12bf1f2c708cfeff6d85150e.png"",""frames/39add5658af686819c52cca4.png"",""frames/e9c4d3ac185995ff0c23272a.png"",""frames/98fa240854e1f3452e83efec.png"",""frames/b0aacdbf56e9b29cec59d905.png"",""frames/81f77a5427fa82bf41cd2aac.png"",""frames/3273c4556df6c5e1ebb81601.png"",""frames/e9702a305e7e632e41c98f1c.png"",""frames/562617b2589a052ec7778ab7.png"",""frames/41d49de51583ab30f9a01aeb.png"",""frames/86ef8d234161a6adf5155dd1.png"",""frames/a57ef48ce848a279a2f48960.png"",""frames/910fb21e70b2500780da68d6.png""]","[0.65,0,0.65,1]","[[8.366081,1,0.737738],[11.101309,-1,0.089165],[11.760546,-1,0.836946],[17.581203,1,0.329935]]"
02c3d4c946f42f0fd7eb323e,"[""frames/909d1bbb376cee72cc53faed.png"",""frames/f6149d1291a365f46d42322a.png"",""frames/8cb530130d720c3fe3e9f2be.png"",""frames/887518527d13cf3138807b31.png"",""frames/d1f7c19e03ec4d094e8b4288.png"",""frames/201613878e1458c021a27f82.png"",""frames/9e3bb32ade237e91addeed94.png"",""frames/53e988b432dd4655bb97655c.png"",""frames/40a9aa8af03cb1e8f0eecf1c.png"",""frames/a0af12e7fac69abbfa67aac8.png"",""frames/00359f990ee8476fecc92574.png"",""frames/98820224d113c410d03cfcb9.png"",""frames/7ed8e0cf1e95eecbfde1d784.png"",""frames/355a6397b85d018016f09189.png"",""frames/beef4a73d567f44d6eaa3605.png"",""frames/1933d149b9d1570c01737231.png"",""frames/a0555571555fbc04c60bd740.png"",""frames/7619c3db460e75b12730a576.png"",""frames/7c014ecbe3b3de6c600db4ef.png"",""frames/4c6d9fe982210dd27d77419f.png""]","[0,0.65,1,0.65]","[[2.214286,-1,0.533895],[3.52381,1,0.546814],[5.828571,1,0.480326],[6.171429,-1,0.482325],[8.685714,-1,0.554202],[9.142857,1,0.657726],[11.017857,1,0.49131],[13.285714,-1,0.658495],[14.306122,1,0.659959]]"
035e83d80c430c102c0bf91b,"[""frames/9c044f9dae34b3abab184966.png"",""frames/be6d6ace3c8c0c5f77ed0b6a.png"",""frames/bca682f6aa3cf7cf0d6e7541.png"",""frames/951d9fa0d45eae8062e964f6.png"",""frames/f19b683a528df019c52c19cb.png"",""frames/fac87df1074eb625e4e47753.png"",""frames/070fa2d676ff5fe25b54cca5.png"",""frames/cdd72c7d6a72f38bb1127579.png"",""frames/af50b1c32f3643045ca94403.png"",""frames/59c10746da6dfa563ed0bb5e.png"",""frames/4bfd82a8e5015244de5ed8ba.png"",""frames/2e284cee29c82dbe056dfd2d.png"",""frames/ba30fd008ff3f97388d08ff7.png"",""frames/118f87706581308cbf1d13af.png"",""frames/5eeb336733ddf56e60feb2c3.png"",""frames/96c245ac0bee9c5f50f16850.png"",""frames/b307fec26038414362fd20b1.png"",""frames/25b8e80b21485fc7e103b2e4.png"",""frames/82d97db2d067964b31044012.png"",""frames/bf0c0529637d3440efbbc077.png""]","[0,0.8,1,0.8]","[[3.870064,1,0.203834],[12.401595,1,0.326371]]"
0382cce6104cf2386dca786f,"[""frames/21a36cf3e514cc5d4ac87ee2.png"",""frames/3a738d45f493c0ebd6a7f203.png"",""frames/25b8ba280d76916f739b3d93.png"",""frames/85f2cdb26e9a547acd1ce11a.png"",""frames/583a049f28a47302631d3a21.png"",""frames/6541997357a91ee57db406c9.png"",""frames/c2f689fe1dfb65c4e1783885.png"",""frames/0e8380a476b4ae8a6426eff5.png"",""frames/3c709a24fc52f8a0e99d16fa.png"",""frames/3beba351200b9d5a69d1b28f.png"",""frames/113b410c1e5e9845e0ef609d.png"",""frames/a423d396a983d4a6ef93e89e.png"",""frames/38f7a546dc535fad8a7d3e08.png"",""frames/778431df5917c5ccf4d5941a.png"",""frames/324c2aedbe385c0990df1be9.png"",""frames/e526cfb40c6f42fd2c1f53be.png"",""frames/93b19c992091861769f7ea1c.png"",""frames/c4d28dc788167679bb9624cb.png"",""frames/128cd727512732004d42b186.png"",""frames/3f5dfad47ba5da3ea64bc1ab.png""]","[0,0.2,1,0.2]","[[3.981707,1,0.807117],[5.091463,-1,0.808098],[6.908537,1,0.808098],[7.381707,1,0.541434],[14.257641,-1,0.550493],[16.636433,-1,0.868267]]"
03a88b7fed402e7b5e2d946c,"[""frames/9cf7b86f7b17919a1cda18d9.png"",""frames/dc3422683c51818e7c23d6e2.png"",""frames/23871e9c03ea54ed82537d3a.png"",""frames/429d200cd042b1c26188cb13.png"",""frames/e4db66ca030dc983725495a4.png"",""frames/ac7a821388de45adb8c0085e.png"",""frames/a3e119e910ff4017c7550d21.png"",""frames/3bd42f88183c733c10545016.png"",""frames/f7dc0400ff68a353f57c8f11.png"",""frames/f21058883c05f9a12719c75b.png"",""frames/0f8cabe859f3aaeac3912d3c.png"",""frames/ad14dc25fe9e779091caf4fb.png"",""frames/4304349e33868a3122865602.png"",""frames/fc77d1d7eda71296867ffbef.png"",""frames/b8b5f704e08a497835450f31.png"",""frames/95957938aae5a1edd7fcda4e.png"",""frames/ac66c10137a2f4d457a43a31.png"",""frames/57a8493d14c97f8e4b47b57c.png"",""frames/299783e7e884b9c7554e5067.png"",""frames/1d162029375f201c4b810fe9.png""]","[0,0.2,1,0.2]","[[8.800362,1,0.701147],[10.865729,-1,0.714319],[11.134271,1,0.715503]]"
046b502980a2d7255d384c95,"[""frames/e693760086c3b60a90a135fd.png"",""frames/a1d4ccf5dd38c19790f7d708.png"",""frames/c53d952407bcc1e6427db96b.png"",""frames/c4edf69c6819498bd8f4b459.png"",""frames/9b493cf4115c8dc4e0d8ee26.png"",""frames/b13540e9999af750245de4a7.png"",""frames/b84d79b16806bb08a5718a0a.png"",""frames/99f2911e42926bce7a390285.png"",""frames/d3d163bfb28732d42ecd8f42.png"",""frames/f8818e31cd7a3c7ee325fae0.png"",""frames/524a39196b003fd0a3f1effd.png"",""frames/13a9cc2902bd2d4f6472a844.png"",""frames/8459f5a9ad6b560ae9c9e5dd.png"",""frames/d46943f3e9d2e7be7de11bf5.png"",""frames/83978ee27586c1afc51c1cfa.png"",""frames/9e52b069253fb4dafbc0868c.png"",""frames/dcee807dd4802762bf41e244.png"",""frames/1a90d034d00ad4b4321166f3.png"",""frames/c9941561f11c20f02d1c076f.png"",""frames/5095f6ac063e565c05fa65d7.png""]","[0,0.8,1,0.8]","[[12.536564,-1,0.356054],[14.695203,1,0.357314],[15.609595,-1,0.355778]]"
0471de89b14f23e411a7d27e,"[""frames/bffeb13136159a1961416c2d.png"",""frames/6fa378d887aef81063e95feb.png"",""frames/5f347b42d47a5627fe94614f.png"",""frames/841ab49e9c85822c4748c324.png"",""frames/bae608a495d8f0c17474be80.png"",""frames/2807a1e0722586864cf86fc7.png"",""frames/6b44ac1199144242fa72ea01.png"",""frames/810f35e2b57efbe49a013ca2.png"",""frames/cb25d830e19211630dd09129.png"",""frames/6a1c54b461625a92e6f3205d.png"",""frames/d4975a235103cbc4d561e29c.png"",""frames/b6942f24d9ecdf42c1cd3045.png"",""frames/c24b0a83b7b67d6425ad69ff.png"",""frames/90a16eae5e6488567a05f9f4.png"",""frames/e4c3b4b33636f8c74e3ea5c8.png"",""frames/ce06c8ff20e3ad225393167a.png"",""frames/c411a2d34f21b0c492537399.png"",""frames/eb71f31ed4d955b02bc08a97.png"",""frames/438f752999ffaa48b1c646c6.png"",""frames/d41e3787a1fa21b048c141ab.png""]","[0.8,0,0.8,1]","[[3.874232,1,0.779972],[7.386762,1,0.545262],[7.690013,1,0.636905],[13.642224,1,0.424389],[15.206446,1,0.582529],[18.306446,1,0.537418],[18.901701,-1,0.716453]]"
0491405593e81e30df4e38ce,"[""frames/10457d73755dd3795112037b.png"",""frames/5689a120ae2d6e29b9408000.png"",""frames/52391722ef24a2f65de4df95.png"",""frames/4b8a1279dc6379c8a5ebbaa2.png"",""frames/0686513e6a89598ce167888d.png"",""frames/46a652b2ee2b50e343c9a5e2.png"",""frames/ec1ec2b4bebea14bb1a10ad1.png"",""frames/b766541137e3650e7f280016.png"",""frames/7d148a839bce4ddad0738006.png"",""frames/e58fb0830d31378defdec84f.png"",""frames/b21639a00bb6931ba6512a2a.png"",""frames/e3080afb88ba751ec21c0bcf.png"",""frames/e6ba6982f86b2506861a3897.png"",""frames/1fe147de223dd903aeb93788.png"",""frames/56daa55dbe42b90ccca750d2.png"",""frames/feec8dfdeb5934cfb72c354e.png"",""frames/20d69c79a1427de5bc82c363.png"",""frames/f4f925bbb66d33e35c855250.png"",""frames/8c37b1b4cce8fe736af4f998.png"",""frames/bf14695abba4993234f24143.png""]","[0,0.2,1,0.2]","[[0.199481,-1,0.407936],[2.180555,1,0.401744],[7.902812,1,0.547209],[8.097188,-1,0.54525],[11.862859,1,0.466367],[12.199481,-1,0.466634],[14.799384,-1,0.389557],[16.451406,1,0.382992],[18.634296,1,0.597283],[18.798594,-1,0.372436]]"
04acecc7a5b67ccb471d9e29,"[""frames/4e3516e22fec024353cc1688.png"",""frames/5ae0775b5768aa4a56ccead5.png"",""frames/2e624e95ca12ed425b37ad26.png"",""frames/2682393c09f4dd281170f4bb.png"",""frames/a94900efc5bfe3194e8790c3.png"",""frames/67afa1647e96a67573e44710.png"",""frames/6873357ce2d8b177e5b320d7.png"",""frames/a931994f25ff678b295523c6.png"",""frames/d261abd148b37b350bee0c8e.png"",""frames/53053ce1b558cfc18c43e928.png"",""frames/9a8b209e26c3d9d1e96af581.png"",""frames/625bd10f96ff3da527c31d2f.png"",""frames/3210f5f7abdbf0f073fc8f16.png"",""frames/21427bfaf291e4eb84e21e5d.png"",""frames/2e7534ff86feae82d2ea1922.png"",""frames/263c2be398b9dd4188930d7a.png"",""frames/539ea6e4c7dae74af54a6588.png"",""frames/57b4745e60f0011bcdb29aac.png"",""frames/54406fd474e13a8ec0e0f175.png"",""frames/92f921fdf461542a1aa4bf1f.png""]","[0,0.5,1,0.5]","[[10.134081,-1,0.398875]]"
04b0b8e351d1f14a7eb41558,"[""frames/0738464bcd26cb45c5275edc.png"",""frames/5501c5f964c991b327572f5b.png"",""frames/bdd184eea71e72881c5b1b95.png"",""frames/44bb3923575bfce115f06525.png"",""frames/ce788b8057234021ea532028.png"",""frames/0120de735f8c10f2d9b7993b.png"",""frames/5b6a5c4233537e9a1ccaf5ed.png"",""frames/0509f9651b5811e6af398a10.png"",""frames/7e57f2df1edebabb14a51755.png"",""frames/60bdfe10bbda7cc309fbaba1.png"",""frames/500d5cc0da7c41fc44f0a15b.png"",""frames/f92206e461c72eb5300f561e.png"",""frames/153be7cc5eb82057815a0636.png"",""frames/48c931f85c4c969ad33f370f.png"",""frames/d21e27b06d3763b81adad872.png"",""frames/e366959c118d7f2df36e7b16.png"",""frames/e7900caaf15fa71da94d28d6.png"",""frames/bc5e70225285364b70fd66e5.png"",""frames/0d603e9a9226cc44fcde4c6f.png"",""frames/9b15d0ccf2b3163439de44bd.png""]","[0.2,0,0.2,1]","[[2.062369,-1,0.520128],[2.69285,-1,0.096031],[12.630504,-1,0.265415]]"
04c0e44461e62a7c45a9929e,"[""frames/5b21fe23388bab13b4820e49.png"",""frames/e1551f2f497ab7d17cd4533f.png"",""frames/3f8e41390fc912b99ddadbb6.png"",""frames/3b72abf59dd2b221944268ac.png"",""frames/53c20d9ddc1002408bc8efd8.png"",""frames/ebc89be6ddba476c3cf4f587.png"",""frames/1db44b00e144b60069c6aaa4.png"",""frames/f76984045bf89b7c30645845.png"",""frames/08afba82b48918fd8791c60b.png"",""frames/5fbfa1a4c29ea5225ce68e31.png"",""frames/c133109f282eeb0743b328c3.png"",""frames/80b5c39c84f887bc66248125.png"",""frames/822dbc26f570d8e7fdc9c9db.png"",""frames/f54bda5f495747a9d160a36b.png"",""frames/4fc83e075b95957323af148b.png"",""frames/60cb50bdb20535698ebef04f.png"",""frames/1f7bacd26215565e44658e5e.png"",""frames/e8cc5554890825f2953bffcb.png"",""frames/86cf2df9d2140daaa8721066.png"",""frames/e5e71f09e53b497ab62e80f0.png""]","[0.65,0,0.65,1]","[[1.637108,-1,0.205071],[18.185505,1,0.955556]]"
